dates,RMSE
3/13 1:00,76.86870574951172
3/13 2:00,86.61964416503906
3/13 3:00,17.9586181640625
3/13 4:00,30.255905151367188
3/13 5:00,60.479949951171875
3/13 6:00,56.47990417480469
3/13 7:00,47.374359130859375
3/13 8:00,56.824554443359375
3/13 9:00,36.38934326171875
3/13 10:00,8.99945068359375
3/13 11:00,26.821563720703125
3/13 12:00,1.5363693237304688
3/13 13:00,7.997413635253906
3/13 14:00,22.46508026123047
3/13 15:00,19.260581970214844
3/13 16:00,20.15106964111328
3/13 17:00,16.347427368164062
3/13 18:00,8.637016296386719
3/13 19:00,18.066829681396484
3/13 20:00,23.364391326904297
3/13 21:00,16.030426025390625
3/13 22:00,25.31812286376953
3/13 23:00,30.82764434814453
3/14 0:00,31.645774841308594
3/14 1:00,84.82106018066406
3/14 2:00,106.17120361328125
3/14 3:00,55.049224853515625
3/14 4:00,79.83010864257812
3/14 5:00,94.65347290039062
3/14 6:00,81.03018188476562
3/14 7:00,87.89434814453125
3/14 8:00,88.517822265625
3/14 9:00,70.67312622070312
3/14 10:00,56.6834716796875
3/14 11:00,62.89195251464844
3/14 12:00,13.586334228515625
3/14 13:00,2.3282699584960938
3/14 14:00,17.81597900390625
3/14 15:00,14.947349548339844
3/14 16:00,18.104862213134766
3/14 17:00,15.14263916015625
3/14 18:00,16.093032836914062
3/14 19:00,9.531532287597656
3/14 20:00,10.705085754394531
3/14 21:00,11.807573318481445
3/14 22:00,13.547584533691406
3/14 23:00,17.626014709472656
3/15 0:00,24.57818603515625
3/15 1:00,53.823028564453125
3/15 2:00,46.65553283691406
3/15 3:00,35.70318603515625
3/15 4:00,29.60174560546875
3/15 5:00,6.23907470703125
3/15 6:00,1.163848876953125
3/15 7:00,32.97416687011719
3/15 8:00,34.56947326660156
3/15 9:00,42.5113525390625
3/15 10:00,50.77330017089844
3/15 11:00,34.37724304199219
3/15 12:00,41.47828674316406
3/15 13:00,29.506759643554688
3/15 14:00,14.221015930175781
3/15 15:00,7.0001373291015625
3/15 16:00,9.954524993896484
3/15 17:00,10.073234558105469
3/15 18:00,9.504264831542969
3/15 19:00,10.312767028808594
3/15 20:00,10.466156005859375
3/15 21:00,6.815761566162109
3/15 22:00,10.876693725585938
3/15 23:00,10.861221313476562
3/16 0:00,16.128997802734375
3/16 1:00,51.90972137451172
3/16 2:00,50.60530090332031
3/16 3:00,20.746734619140625
3/16 4:00,30.4815673828125
3/16 5:00,1.01806640625
3/16 6:00,2.88787841796875
3/16 7:00,34.224578857421875
3/16 8:00,20.3670654296875
3/16 9:00,18.908157348632812
3/16 10:00,17.884078979492188
3/16 11:00,12.368003845214844
3/16 12:00,2.359954833984375
3/16 13:00,7.490631103515625
3/16 14:00,7.834465026855469
3/16 15:00,1.6497726440429688
3/16 16:00,6.480316162109375
3/16 17:00,8.155860900878906
3/16 18:00,2.5065841674804688
3/16 19:00,9.994804382324219
3/16 20:00,14.20535659790039
3/16 21:00,0.7384414672851562
3/16 22:00,16.723804473876953
3/16 23:00,10.090751647949219
